Title,year,Page_Num,Graphic,Star_Wars,Fantasy,Romance,Self_Help,YA,Science,Creative
Demon in the Wood,2023,203,1,,1,,,,,
"Snow, Glass, Apples",2023,64,1,,1,1,,,,
Rebel Jail,2023,142,1,1,,,,,,
Last Flight of the Harbinger,2023,152,1,1,,,,,,
Brotherhood,2023,332,0,1,,,,,,
Yoda's Secret War,2023,152,1,1,,,,,,
Caraval,2023,407,1,,1,1,,1,,
Aphra,2023,152,1,1,,,,,,
Queen's Hope,2023,280,0,1,,,,,,
Queen of Myth and Monsters,2023,432,0,,1,1,,,,
The Screaming Citadel,2023,136,1,1,,,,,,
Doctor Aphra and the Enormous Profit,2023,152,1,1,,,,,,
The Perilous Sea,2023,414,0,,1,1,,1,,
Kimetsu no Yaiba,2023,192,1,,,,,,,
Hell Bent,2023,484,0,,1,1,,,,
Out Among the Stars,2023,156,1,1,,,,,,
Darth Maul,2023,138,1,1,,,,,,
Jedi:Battle Scars,2023,304,0,1,,,,,,
Remastered,2023,136,1,1,,,,,,
Electric Idol,2023,375,0,,1,1,,,,
All About Love,2023,240,0,,,,1,,,
The Ashes of Jedha,2023,144,1,1,,,,,,
Legendary,2023,451,0,,1,1,,1,,
Understanding Comics: The Invisible Art,2023,222,1,,,,,,,
The Courage to Be Disliked,2023,288,0,,,,,1,,
Psy-Changling 1,2023,412,0,,,1,,,,
Psy-Changling 2,2023,332,0,,,1,,,,
Psy-Changling 3,2023,352,0,,,1,,,,
The Catastrophe Con,2023,152,1,1,,,,,,
Light of the Jedi,2023,380,0,1,,,,,,
Psy-Changling 4,2023,328,0,,,1,,,,
Psy-Changling 5,2023,330,0,,,1,,,,
Dark Temple,2023,120,1,1,,,,,,
Mutiny on Mon Cala,2023,144,1,1,,,,,,
Psy-Changling 6,2023,358,0,,,1,,,,
Psy-Changling 7,2023,373,0,,,1,,,,
Psy-Changling 8,2023,348,0,,,1,,,,
Psy-Changling 9,2023,321,0,,,1,,,,
Psy-Changling 10,2023,432,0,,,1,,,,
Lore Olympus 4,2023,416,1,,1,,1,,,
Heir to the Empire,2023,434,0,1,,,,,,
Worst Among Equals,2023,168,1,1,,,,,,
Rule of Wolves,2023,592,0,,1,,,,,
Five Packs 1,2023,382,0,,,1,,,,
Five Packs 2,2023,426,0,,,1,,,,
Unspeakable Rebel Superweapon,2023,112,1,1,,,,,,
Five Packs 3,2023,316,0,,,1,,,,
The Immortal Heights,2023,436,0,,1,1,,1,,
Finale,2023,478,0,,1,1,,1,,
A Soul of Ash and Blood,2023,703,0,,1,1,,,,
Kylorr 1,2023,428,0,,1,1,,,,
Fourth Wing,2023,500,0,,1,1,,,,
Dark Force Rising,2023,439,0,1,,,,,,
Who You Were Meant to Be,2023,244,0,,,,1,,,
Crave,2023,592,0,,1,1,,1,,
A Rouge's End,2023,144,0,1,,,,,,
Into the Dark,2023,425,0,1,,,,1,,
Throne of Glass,2023,406,0,,1,1,,1,,
Lore Olympus 5,2023,400,1,,1,1,,,,
The Psychology of Money,2023,252,0,,,,1,,,
Harley Quinn & Poison Ivy,2023,144,1,,,,,,,
Bloodline,2023,353,0,1,,,,,,
The Good Enough Job,2023,272,0,,,,1,,,
A Fire in the Flesh,2023,632,0,,1,1,,,,
Iron Flame,2023,623,0,,1,1,,,,
Thrawn,2023,146,1,1,,,,,,
How to Love,2023,128,0,,,,1,,,
Crush,2023,704,0,,1,1,,1,,
Batman White Knight,2022,232,1,,,,,,,
King of Battle and Blood,2022,391,,,1,1,,,,
House of Earth and Blood,2022,803,,,1,1,,,,
The Cruel Prince,2022,370,,,1,1,,1,,
The Wicked King,2022,336,,,1,1,,1,,
The Queen of Nothing,2022,300,,,1,1,,1,,
The Invisible Life of Addie Larue,2022,448,,,1,,,,,
These Violent Delights,2022,449,,,1,1,,1,,
Our Violent Ends,2022,494,,,1,1,,1,,
Shadow and Bone,2022,358,,,1,1,,1,,
Siege and Storm,2022,435,,,1,1,,1,,
Ruin and Rising,2022,350,,,1,1,,1,,
Six of Crows,2022,465,,,1,,,1,,
Crooked Kingdom,2022,561,,,1,,,1,,
From Blood and Ash,2022,622,,,1,1,,,,
House of Sky and Breath,2022,805,,,1,1,,,,
Kingdom of Flesh and Fire,2022,637,,,1,1,,,,
The Crown of Gilded Bones,2022,645,,,1,1,,,,
King of Scars,2022,527,,,1,,,1,,
Kingdom of the Wicked,2022,372,,,1,1,,,,
Kingdom of the Cursed,2022,437,,,1,1,,,,
A Shadow in the Ember,2022,647,,,1,1,,,,
A Touch of Darkness,2022,438,,,1,1,,,,
Red Queen,2022,388,,,1,1,,1,,
Glass Sword,2022,444,,,1,1,,1,,
King's Cage,2022,528,,,1,1,,1,,
A Game of Fate,2022,379,,,1,1,,,,
Queen's Shadow,2022,400,,1,,,,1,,
War Storm,2022,662,,,1,1,,1,,
Lore Olympus 1,2022,384,1,,,,,,,
Heartstropper 1,2022,288,1,,,,,,,
Heartstropper 2,2022,320,1,,,,,,,
Hidden Legacy 1,2022,406,,,1,1,,,,
Hidden Legacy 2,2022,389,,,1,1,,,,
Hidden Legacy 3,2022,391,,,1,1,,,,
Hidden Legacy 4,2022,160,,,1,1,,,,
